evaluation_period,group_type,group_value,model,n,mae,rmse,wape,smape,uncensored_n
2024-06-26 to 2024-07-02,store,0,seasonal_naive,238,0.5415126050420168,0.8378569100274057,0.41028906150515726,0.5420689947241958,121
2024-06-26 to 2024-07-02,store,0,xgb_observed_sales,238,0.4299955788179606,0.6677106025647425,0.3257957078781186,0.48795337626346746,121
2024-06-26 to 2024-07-02,store,0,xgb_stockout_aware,238,0.4272807416682985,0.6286940024527385,0.3237387511685185,0.4791034714640788,121
2024-06-26 to 2024-07-02,store,1,seasonal_naive,14,0.5499999999999999,0.8259194011178435,0.6416666666666665,1.2057040998217468,13
2024-06-26 to 2024-07-02,store,1,xgb_observed_sales,14,0.6116477672542845,0.7609274883411522,0.7135890617966651,1.0389224432034099,13
2024-06-26 to 2024-07-02,store,1,xgb_stockout_aware,14,0.5567741176911764,0.7129374174186074,0.649569803973039,1.023426183253424,13
2024-06-26 to 2024-07-02,store,2,seasonal_naive,14,0.5685714285714286,0.8303871730360828,1.206060606060606,0.8514786800501087,11
2024-06-26 to 2024-07-02,store,2,xgb_observed_sales,14,0.29196301251649853,0.35701399657093186,0.6193154810956029,0.6633472064572892,11
2024-06-26 to 2024-07-02,store,2,xgb_stockout_aware,14,0.3255816957780292,0.3731877905143821,0.6906278395291529,0.7413454117864394,11
2024-06-26 to 2024-07-02,store,3,seasonal_naive,266,0.6563157894736842,1.1202624558222114,0.5646914219174537,0.7621927336254064,145
2024-06-26 to 2024-07-02,store,3,xgb_observed_sales,266,0.5228250001135625,0.8891567058111793,0.4498364925288123,0.5489174062027208,145
2024-06-26 to 2024-07-02,store,3,xgb_stockout_aware,266,0.5301075400176801,0.8902948462725904,0.4561023600876663,0.5477575169932009,145
2024-06-26 to 2024-07-02,store,4,seasonal_naive,7,0.41428571428571426,0.44561354172806344,0.7073170731707318,0.7347284294652716,5
2024-06-26 to 2024-07-02,store,4,xgb_observed_sales,7,0.35684761830738615,0.4024766039022556,0.609252031256513,0.7018831460656262,5
2024-06-26 to 2024-07-02,store,4,xgb_stockout_aware,7,0.3996205415044512,0.44149043712663105,0.6822789733002826,0.7364384253571493,5
